band,Pop,SITE,Year,bandyear,Sex,age,CI1,RS,mRWL,mLTS,mRTS,maxTS,Mass,Date,Date2,Julian,T_Avg.Brightness,T_Hue,T_Chrom,R_Avg.Brightness,R_Hue,R_Chrom,B_Avg.Brightness,B_Hue,B_Chrom,V_Avg.Brightness,V_Hue,V_Chrom,colordate,T_tcs.h.theta,T_tcs.h.phi,T_tcs.r.vec,T_tcs.r.achieved,T_sum.B2,R_tcs.h.theta,R_tcs.h.phi,R_tcs.r.vec,R_tcs.r.achieved,R_sum.B2,B_tcs.h.theta,B_tcs.h.phi,B_tcs.r.vec,B_tcs.r.achieved,B_sum.B2,V_tcs.h.theta,V_tcs.h.phi,V_tcs.r.vec,V_tcs.r.achieved,V_sum.B2
2540-44533,CO,Carms,2008,2540-44533_2008,F,,159,0,114.5,76.5,75.33333333,76.5,18,50908,5/9/08,130,20.50864547,660.0866667,0.542968871,38.67231981,665.76,0.403875629,20.88301636,683.45,0.476452991,32.76692272,629.3966667,0.479240174,2540-44533.50908,-0.080220027,-0.744393883,0.264649863,0.7171695,19.93803307,0.012112594,-0.849172309,0.142095947,0.426572343,38.06675378,-0.001128058,-0.835567263,0.215271492,0.638648901,20.40337231,-0.011513169,-0.844960682,0.216936215,0.64897136,32.00620812
2540-44534,CO,Creepy,2008,2540-44534_2008,M,,145,9,119.6666667,66,82.5,82.5,18,51208,5/12/08,133,9.710687364,694.15,0.595686665,29.83298681,607.4766667,0.501244289,34.82521683,611.7466667,0.441325777,15.09302704,658.1,0.542166936,2540-44534.51208,-0.170618853,-0.663311779,0.291050158,0.716801911,9.417045728,-0.005237849,-0.793461892,0.237494601,0.675868955,29.09020749,0.025404203,-0.917499574,0.190057921,0.603386504,34.11073534,-0.052626113,-0.759605257,0.27226828,0.749936718,14.66603988
2540-44535,CO,Creepy,2008,2540-44535_2008,M,,142,9,123,67.5,96,96,18,51208,5/12/08,133,22.25338658,588.0933333,0.480280571,29.51798681,620.4366667,0.474384801,22.52278635,618.7633333,0.506981386,14.68278251,678.1066667,0.583945439,2540-44535.51208,-0.068725638,-0.82957057,0.213220309,0.62928265,21.7462753,-0.017781768,-0.852660023,0.212373557,0.62831151,28.87966659,-0.044130923,-0.776076316,0.237814221,0.666462657,21.96172117,-0.14001357,-0.720945455,0.294417186,0.77708124,14.23462845
2540-44536,CO,Creepy,2008,2540-44536_2008,F,,142,9,119,80.5,82,82,18,51208,5/12/08,133,17.1410646,650.12,0.527056558,31.99085211,588.4233333,0.459923441,36.17583492,592.07,0.452668816,24.31833984,630.69,0.478112958,2540-44536.51208,-0.097163427,-0.755228823,0.245875693,0.669052842,16.71075715,0.006620409,-0.816012638,0.19796373,0.576801051,31.31189735,0.011154997,-0.939230256,0.205119735,0.661496482,35.38487045,-0.00858837,-0.856216189,0.219778014,0.662414193,23.75083001
2540-44537,CO,Maya's,2008,2540-44537_2008,M,,124,0,122.3333333,100,100,100,19.5,52208,5/22/08,143,13.72750542,665.1266667,0.550272614,23.00186496,670.1466667,0.519580069,23.98278,681.1433333,0.468465541,16.29795343,687.8,0.575807583,2540-44537.52208,-0.141122153,-0.685778665,0.254479337,0.640865412,13.37856387,-0.090465794,-0.744458064,0.241418535,0.654056728,22.4178625,-0.017380228,-0.814363485,0.201208562,0.585345248,23.4605579,-0.112833891,-0.693541829,0.285086403,0.728743764,15.81844601
2540-44538,CO,Maya's,2008,2540-44538_2008,F,,167,0,124.5,88.5,88.5,88.5,19,51208,5/12/08,133,22.6902412,596.7633333,0.497325061,30.61039042,606.08,0.412561924,35.87807511,573.77,0.397064979,39.19243515,554.11,0.383096677,2540-44538.51208,-0.050057133,-0.747510536,0.225495539,0.61314625,22.14778291,0.068756284,-0.899378284,0.15978136,0.499630186,30.07539722,0.062094154,-0.910786109,0.14439592,0.455874953,35.30534314,0.081033829,-1.000619504,0.13808675,0.464453996,38.59400496
2540-44539,CO,Maya's,2008,2540-44539_2008,F,,124,0,121,82,81,82,23,51208,5/12/08,133,18.82466166,623.1,0.518424362,40.01747221,571.0766667,0.400584383,41.28791087,574.41,0.400414445,33.1457341,622.46,0.446998577,2540-44539.51208,-0.071737521,-0.749715356,0.241404672,0.65717683,18.34574246,0.009164137,-0.854581832,0.140199475,0.422811314,39.40558613,0.079826214,-0.971991494,0.156338079,0.516150973,40.58859885,0.040802812,-0.924428865,0.19883339,0.634759132,32.44304998
2540-44540,CO,Maya's,2008,2540-44540_2008,M,,167,0,119,94.83333333,95.83333333,95.83333333,18,51208,5/12/08,133,,,,30.67491888,597.4066667,0.477949759,29.24025088,606.04,0.446103302,17.6089586,637.0666667,0.511109036,2540-44540.51208,,,,,,-0.057281073,-0.835813194,0.21332331,0.632947928,29.97968527,-0.023336842,-0.859828326,0.182612675,0.553683692,28.65704995,-0.097900115,-0.748749546,0.233049964,0.633117273,17.18017107
2540-44541,CO,Maya's,2008,2540-44541_2008,F,,130,0,119,90.66666667,90,90.66666667,20.5,51208,5/12/08,133,21.85498131,647.05,0.505648838,33.44252596,586.0266667,0.445259525,22.4571786,635.41,0.420391411,21.48205809,660.0866667,0.515203363,2540-44541.51208,-0.084078571,-0.748670405,0.224490996,0.60922343,21.34136226,0.035413147,-0.874100117,0.192024479,0.589120482,32.75419428,0.072435199,-0.915341498,0.172107336,0.535995985,22.05038448,-0.051862861,-0.760476719,0.242362906,0.667100446,20.9377941
2540-44542,CO,Maya's,2008,2540-44542_2008,F,,150,0,117,79,79,79,19,51208,5/12/08,133,26.17557253,628.0933333,0.472876914,32.36470806,612.0333333,0.380820131,44.18891554,595.4466667,0.367667361,27.02897446,602.7166667,0.472820882,2540-44542.51208,-0.071332109,-0.7958696,0.199563669,0.570490934,25.60394003,,,,,,0.150747055,-1.113551461,0.133529384,0.478956988,43.54013039,-0.01197829,-0.847746167,0.21416023,0.642369801,26.40723282
2540-44543,CO,Shangri-La,2008,2540-44543_2008,M,,142,4,119,94.5,86.66666667,94.5,18.5,51408,5/14/08,135,16.7961756,668.72,0.509805501,32.51680704,682.4133333,0.442606839,20.70745885,623.0733333,0.489629106,21.70219095,606.7166667,0.476848716,2540-44543.51408,-0.146013479,-0.648556127,0.211909913,0.510763225,16.41874493,-0.044461318,-0.794960786,0.169577998,0.483677016,31.90532195,-0.047971265,-0.726472848,0.215032933,0.571333795,20.23219828,-0.013904936,-0.786163797,0.210474297,0.595351615,21.21150154
2540-44544,CO,Shangri-La,2008,2540-44544_2008,F,,159,0,114.6666667,74,74,74,18.5,51408,5/14/08,135,17.26001102,646.3533333,0.507037985,43.78353247,596.45,0.405103529,39.64885378,617.6933333,0.349044317,34.75836839,599.17,0.449708062,2540-44544.51408,-0.117442942,-0.712624127,0.219671612,0.574458708,16.84944799,0.06135185,-0.928617104,0.154278039,0.494202475,43.04300249,0.127609679,-1.018767643,0.099869983,0.340038556,39.18766309,-0.010740093,-0.865610656,0.190475289,0.580077908,34.04523931
2540-44545,CO,Shangri-La,2008,2540-44545_2008,F,,142,4,117.5,76.16666667,76,76.16666667,17,51408,5/14/08,135,22.56810616,596.45,0.451887631,42.91371324,595.6766667,0.418373157,34.89760925,598.7833333,0.436694565,25.9313527,599.17,0.501005893,2540-44545.51408,-0.043729469,-0.804580097,0.18427639,0.525559169,22.14047579,0.020393019,-0.88264789,0.161259903,0.498071159,42.15825022,0.009122486,-0.881811828,0.180064488,0.55261665,34.22607895,-0.075321738,-0.787539161,0.229097676,0.647180912,25.3096577
2540-44546,CO,Centennial,2008,2540-44546_2008,F,,145,7,120,89,88,89,17.5,51408,5/14/08,135,13.24567368,652.39,0.579413857,19.7977553,593.79,0.498762009,25.73547922,655.38,0.480789079,21.29106526,657.8066667,0.527543518,2540-44546.51408,-0.131340946,-0.666594792,0.283526289,0.701184992,12.85408216,-0.038605003,-0.826889899,0.234896841,0.691136123,19.30384715,-0.039937654,-0.748788269,0.206056828,0.558483421,25.17526083,-0.082279771,-0.736184512,0.246331887,0.660808999,20.73890984
2540-44547,CO,Schaap,2008,2540-44547_2008,M,,140,8,120,84,78,84,17.5,51608,5/16/08,137,16.2759112,668.1266667,0.513076982,25.51465265,622.1233333,0.458963696,30.49648623,601.4466667,0.452145072,17.65907161,651.06,0.524570472,2540-44547.51608,-0.096886829,-0.700055391,0.226955643,0.584023202,15.88770387,-0.022530848,-0.766972676,0.18851282,0.523090274,24.99724447,-0.026555349,-0.902873159,0.192818111,0.603547395,29.85921561,-0.093013091,-0.71821646,0.240231458,0.631717874,17.21087514
