"","Dyads","mRWL","mRTS","T_AvgBri","T_Hue","T_Chrom","R_AvgBri","R_Hue","R_Chrom","B_AvgBri","B_Hue","B_Chrom","V_AvgBri","V_Hue","V_Chrom","var"
"21","CR-IL",0.146870309003293,0.645869537616318,0.657488844379965,0.147317533886114,-0.36872589650607,1.33287752355635,-0.300617296586327,-1.19161748047966,1.54535531017394,0.345946200552951,-1.14898725045989,1.59330832306147,-0.67640344769992,-1.35896616384642,"traitmean"
"22","CR-TW",2.06926157357001,1.59499911831534,0.893611648985889,-0.197487500146068,-1.39285082826144,0.0584792865294731,0.212264885768231,0.571382360900891,0.42595939710278,-0.359621330676194,0.693873789974965,-0.160554935064537,0.407520717219676,0.937574882430693,"traitmean"
"23","RM-TR",0.172284766197591,0.385452125052521,-0.660439888447353,0.230449333828736,-0.170129524451375,0.150392938943212,1.14070299676342,-0.208310955977058,-0.445595244439381,1.45355076832194,-0.0645517708702883,-0.0569866168173991,0.890005534756277,-0.115803411700627,"traitmean"
"24","RM-IL",0.164507106002586,0.602705920045797,-0.615000355598318,0.537912827018467,0.0205703743517777,0.749704300664536,0.325972933452404,-0.976222052691476,0.25841644488067,1.25619353734897,-0.833706502282769,0.687175059030714,-0.116012606745588,-0.813040307844411,"traitmean"
"25","RM-TW",2.0868983705693,1.55183550074482,-0.378877550992395,0.193107792986285,-1.00355455740359,-0.524693936362338,0.838855115806961,0.786777788689071,-0.860979468190489,0.550626006119829,1.00915453815208,-1.06668819909529,0.967911558174008,1.4835007384327,"traitmean"
"26","TR-IL",-0.00777766019500498,0.217253794993276,0.0454395328490351,0.307463493189731,0.190699898803153,0.599311361721324,-0.814730063311015,-0.767911096714417,0.704011689320051,-0.197357230972965,-0.769154731412481,0.744161675848113,-1.00601814150187,-0.697236896143784,"traitmean"
"27","TR-TW",1.91461360437171,1.1663833756923,0.281562337454959,-0.0373415408424509,-0.833425032952212,-0.67508687530555,-0.301847880956457,0.995088744666129,-0.415384223751108,-0.902924762202109,1.07370630902237,-1.00970158227789,0.0779060234177309,1.59930415013333,"traitmean"
"28","IL-TW",1.92239126456672,0.949129580699024,0.236122804605924,-0.344805034032182,-1.02412493175537,-1.27439823702687,0.512882182354558,1.76299984138055,-1.11939591307116,-0.705567531229144,1.84286104043485,-1.75386325812601,1.0839241649196,2.29654104627711,"traitmean"
"29","CO-IA",-2,-1,0,-2,1,1,-2,1,0,-1,0,-2,6,-3,"deg"
"30","CO-UK",-2,-1,0,0,2,0,1,2,5,3,0,2,6,2,"deg"
"31","CO-CR",1,-2,-1,1,-2,3,1,3,1,5,-1,-1,7,-1,"deg"
"32","CO-RM",-2,-1,2,-3,5,4,1,0,2,3,1,2,8,0,"deg"
"33","CO-TR",1,-2,-1,-2,0,2,3,2,2,4,-1,-1,5,-2,"deg"
"34","CO-IL",-1,-2,4,-1,1,0,1,-1,2,-2,-1,-1,2,-1,"deg"
"35","CO-TW",-2,-4,1,1,1,4,3,1,4,0,5,2,9,1,"deg"
"36","IA-UK",0,0,0,2,1,-1,3,1,5,4,0,4,0,5,"deg"
"37","IA-CR",3,-1,-1,3,-3,2,3,2,1,6,-1,1,1,2,"deg"
"38","IA-RM",0,0,2,-1,4,3,3,-1,2,4,1,4,2,3,"deg"
"39","IA-TR",3,-1,-1,0,-1,1,5,1,2,5,-1,1,-1,1,"deg"
"40","IA-IL",1,-1,4,1,0,-1,3,-2,2,-1,-1,1,-4,2,"deg"
"41","IA-TW",0,-3,1,3,0,3,5,0,4,1,5,4,3,4,"deg"
"42","UK-CR",3,-1,-1,1,-4,3,0,1,-4,2,-1,-3,1,-3,"deg"
"43","UK-RM",0,0,2,-3,3,4,0,-2,-3,0,1,0,2,-2,"deg"
"44","UK-TR",3,-1,-1,-2,-2,2,2,0,-3,1,-1,-3,-1,-4,"deg"
"45","UK-IL",1,-1,4,-1,-1,0,0,-3,-3,-5,-1,-3,-4,-3,"deg"
"46","UK-TW",0,-3,1,1,-1,4,2,-1,-1,-3,5,0,3,-1,"deg"
"47","CR-RM",-3,1,3,-4,7,1,0,-3,1,-2,2,3,1,1,"deg"
"48","CR-TR",0,0,0,-3,2,-1,2,-1,1,-1,0,0,-2,-1,"deg"
"49","CR-IL",-2,0,5,-2,3,-3,0,-4,1,-7,0,0,-5,0,"deg"
"50","CR-TW",-3,-2,2,0,3,1,2,-2,3,-5,6,3,2,2,"deg"
"51","RM-TR",3,-1,-3,1,-5,-2,2,2,0,1,-2,-3,-3,-2,"deg"
"52","RM-IL",1,-1,2,2,-4,-4,0,-1,0,-5,-2,-3,-6,-1,"deg"
"53","RM-TW",0,-3,-1,4,-4,0,2,1,2,-3,4,0,1,1,"deg"
