band,population,country,year,sex,ci1,rs,tail.mean,weight,date,t.avg.bright,t.hue,t.chrom,r.avg.bright,r.hue,r.chrom,b.avg.bright,b.hue,b.chrom,v.avg.bright,v.hue,v.chrom,band_x_pop,lat,long
2540-44561,colorado,USA,2008,M,139,4,87,17.5,51908,9.091217493,681.0766667,0.550099609,30.28190502,607.1533333,0.440138526,22.039665,626.4433333,0.488423242,17.67581639,639.13,0.503975251,2540-44561 CO,40.0274,-105.2519
2540-44562,colorado,USA,2008,F,133,0,78,21,51908,12.42365181,670.1466667,0.559342187,28.38697162,610.41,0.425990205,37.66503489,622.4466667,0.433589422,26.85938307,622.14,0.484266705,2540-44562 CO,40.0274,-105.2519
2540-44563,colorado,USA,2008,M,NA,NA,97.5,20,51908,6.932403105,694.15,0.590074947,15.3611322,683.45,0.504996723,16.4308199,636.4066667,0.496937467,13.82840077,676.7766667,0.542629491,2540-44563 CO,40.0274,-105.2519
2540-44564,colorado,USA,2008,F,167,0,81,15.5,51908,7.998368052,694.15,0.601508816,28.39091988,596.7733333,0.462131629,33.66066875,639.6225,0.440567345,25.24381839,662.8133333,0.48330141,2540-44564 CO,40.0274,-105.2519
2540-44565,colorado,USA,2008,F,NA,NA,85.08333333499999,19.5,51908,10.31033684,687.8,0.605024605,25.33028326,587.1366667,0.455103373,33.76908613,594.5033333,0.437949657,20.61588216,595.7466667,0.477099599,2540-44565 CO,40.0274,-105.2519
2540-44566,colorado,USA,2008,F,131,0,82,22.5,NA,17.00663462,622.46,0.541380134,37.19327758,597.7833333,0.448060899,42.03483158,613.7733333,0.422292051,23.23937773,628.8066667,0.517318404,2540-44566 CO,40.0274,-105.2519
2540-44567,colorado,USA,2008,M,153,4,90.25,18.5,62408,23.8764238,654.73,0.464419006,27.58930863,610.07,0.47967361,21.2556206,629.1666667,0.484425703,24.86047238,642.4133333,0.503616838,2540-44567 CO,40.0274,-105.2519
2540-44568,colorado,USA,2008,F,153,4,73.5,20.5,51908,22.76775146,620.0933333,0.443544246,45.36714422,591.08,0.396480784,39.00400851,567.0633333,0.41229264,40.83249775,615.7933333,0.408150396,2540-44568 CO,40.0274,-105.2519
2540-44569,colorado,USA,2008,M,154,4,99.75,20.5,51908,9.616041729,687.8,0.5900118,23.49238074,626.47,0.481264939,29.85540811,593.14,0.452715037,16.80502788,672.0933333,0.556407394,2540-44569 CO,40.0274,-105.2519
2540-44570,colorado,USA,2008,F,154,4,83.5,21.5,51908,21.85042831,645.1166667,0.477359593,37.18498531,611.7733333,0.416612973,29.4225333,613.0666667,0.453832981,26.19039125,559.7266667,0.414875096,2540-44570 CO,40.0274,-105.2519
2540-44571,colorado,USA,2008,F,183,4,80.25,18.75,52008,22.39926907,641.0933333,0.520273384,30.2668905,600.3933333,0.4547322,35.06093323,624.4233333,0.431235222,29.15419312,610.05,0.469362752,2540-44571 CO,40.0274,-105.2519
2540-44572,colorado,USA,2008,M,142,5,84,18.5,52008,9.703635119,675.42,0.587418327,22.13748122,651.56,0.501177921,24.46876648,617.4166667,0.486369333,21.80127408,649.74,0.505810777,2540-44572 CO,40.0274,-105.2519
2540-44573,colorado,USA,2008,M,157,2,99.58333333499999,17,52008,8.689472041,670.4466667,0.604382632,25.713013020000002,638.7,0.51694492,29.79914655,637.8033333,0.458917054,18.24257436,638.4166667,0.530290956,2540-44573 CO,40.0274,-105.2519
2540-44574,colorado,USA,2008,M,183,4,88.5,19,52008,19.74843499,684.0766667,0.488884178,25.06885128,624.7233333,0.509785183,23.92468302,591.42,0.519942033,16.0907992,670.4666667,0.560490409,2540-44574 CO,40.0274,-105.2519
2540-44575,colorado,USA,2008,F,157,2,79,21.75,52008,22.36187164,669.8266667,0.513728553,36.91768436,620.0866667,0.441840285,33.97054565,595.7366667,0.463464867,21.60721699,643.13,0.526403779,2540-44575 CO,40.0274,-105.2519
2540-44576,colorado,USA,2008,F,142,5,75,19.5,52008,14.49050676,694.15,0.571774597,43.74002066,598.37,0.410755202,35.61716558,587.09,0.42531089,36.43453063,583.14,0.386081375,2540-44576 CO,40.0274,-105.2519
2540-44577,colorado,USA,2008,F,154,7,78.75,19,52008,18.86565448,671.4266667,0.514744396,21.740554,603.4633333,0.427475509,30.41534018,599.7233333,0.441977872,18.26939242,664.43,0.527138866,2540-44577 CO,40.0274,-105.2519
