"","sample.id","band","band2","long","lat","country","location","pop2","pop3","gps","zone","sort.column.snps","sex","tarsus.mean","rwl.mean","bill.length.mean","bill.depth.mean","bill.width.mean","tail.mean","weight","c2.pointedness","c3.convexity","b.total.bright","b.avg.bright","b.hue","b.chrom","r.total.bright","r.avg.bright","r.hue","r.chrom","t.total.bright","t.avg.bright","t.hue","t.chrom","v.total.bright","v.avg.bright","v.hue","v.chrom","carbon.ratio","mate.id"
"47","1040","1040_g_Xinkang.Village_china","1040",112.807309,28.401219,"china","changsha","changsha","changsha","scared.birds","gutturalis",47,"f",10.36666667,113.1666667,5.5,2.516666667,4.966666667,79.83333333,14.75,0.318937522,0.802080668,86818.13333,43.47427808,610.4863333,0.362031145,118504.89,59.34145719,603.416,0.3436427,24044.99,12.04055583,687.1126667,0.521550142,115160.4433,57.66672175,599.1603333,0.352577177,-15.0017,"1039"
"48","1041","1041_g_Xinkang.Village_china","1041",112.806638,28.400926,"china","changsha","changsha","changsha","mission.impossible","gutturalis",48,"m",9.366666667,116,5.55,2.466666667,4.566666667,89,14.43,0.258028556,0.614299358,92991.54333,46.5656201,597.125,0.347892068,105959.2967,53.05923719,572.7846667,0.352456762,17037.70667,8.53165081,684.7523333,0.52642162,102873.03,51.51378568,553.505,0.349336894,-21.2438,"1042"
"49","1042","1042_g_Xinkang.Village_china","1042",112.806638,28.400926,"china","changsha","changsha","changsha","mission.impossible","gutturalis",49,"f",10.38333333,116.1666667,5.3,2.7,4.533333333,79.41666667,17.69,0.364427048,0.566954348,62437.08667,31.2654415,599.165,0.386840681,83344.40667,41.73480554,599.1603333,0.380967462,16947.01667,8.48623769,681.8063333,0.528092903,64563.33333,32.33016191,634.4556667,0.409702366,-16.6812,"1041"
"50","1043","1043_g_Xinkang.Village_china","1043",112.807788,28.403865,"china","changsha","changsha","changsha","ginger","gutturalis",50,"f",10.23333333,117.3333333,5.066666667,2.166666667,4.433333333,85.41666667,16.6,0.321957792,0.65790879,89183.27333,44.6586246,632.1316667,0.333273152,89671.05667,44.90288266,553.1093333,0.366066812,20269.15333,10.14980137,669.3846667,0.570830099,96489.93333,48.31744283,579.1146667,0.365355548,-22.8039,"1044"
"51","1044","1044_g_Xinkang.Village_china","1044",112.807788,28.403865,"china","changsha","changsha","changsha","ginger","gutturalis",51,"m",10.18333333,114.5,5.316666667,2.383333333,4.333333333,84.33333333,14.86,0.346388964,0.625389206,66474.41667,33.28713904,593.7863333,0.35672073,94328.69667,47.23520114,578.1283333,0.348066039,14586.48667,7.304199633,672.0593333,0.536240703,62035.26333,31.06422801,617.757,0.432109193,NA,"1043"
"52","1045","1045_g_Xinkang.Village_china","1045",112.806888,28.403847,"china","changsha","changsha","changsha","loudspeaker","gutturalis",52,"m",10.73333333,116.6666667,5.433333333,2.483333333,4.466666667,87,15.73,0.284729541,0.475827984,72189.98333,36.14921549,610.5016667,0.336972679,111495.3267,55.83141045,562.487,0.3370837,14250.14667,7.135776999,677.7406667,0.561014003,88895.67667,44.51461025,628.422,0.381517212,NA,"1046"
"53","1046","1046_g_Xinkang.Village_china","1046",112.806888,28.403847,"china","changsha","changsha","changsha","loudspeaker","gutturalis",53,"f",10.25,114.1666667,5.833333333,2.733333333,4.533333333,83.5,18.59,0.505712985,1.027165306,84241.66667,41.99484879,560.7263333,0.337781381,99399.01333,49.5508541,634.1103333,0.324922131,19227.22,9.584855434,664.7056667,0.554845709,94127.99,46.92322532,622.0476667,0.346002509,NA,"1045"
"54","1047","1047_g_Xinkang.Village_china","1047",112.805998,28.400245,"china","changsha","changsha","changsha","fishing.net","gutturalis",54,"m",10.1,117.1666667,6.083333333,2.833333333,4.466666667,107.8333333,15.16,0.334269107,0.544178812,103998.3067,51.84362247,650.1036667,0.307838807,108757.4633,54.21608342,617.0873333,0.333998934,12977.65667,6.469420073,681.421,0.534226125,89305.65,44.5192672,579.061,0.382024315,NA,"1038"
"55","1048","1048_g_Xinkang.Village_china","1048",112.80714,28.400597,"china","changsha","changsha","changsha","construction","gutturalis",55,"m",10,116.6666667,5.8,2.783333333,5.266666667,88,14.54,0.28200486,0.455500094,78655.12333,39.20993187,597.723,0.362982978,94742.01667,47.22932037,597.723,0.369115732,12757.11667,6.359479894,671.3896667,0.530502217,48575.63333,24.21517115,643.036,0.478885196,NA,NA
"56","1049","1049_g_Xinkang.Village_china","1049",112.806532,28.401171,"china","changsha","changsha","changsha","third.times.the.charm","gutturalis",56,"m",10.96666667,120.3333333,5.366666667,2.833333333,5.1,98.91666667,13.98,0.270581903,0.636093627,86296.66667,43.01927551,660.4623333,0.344226111,110374.33,55.0220987,645.7586667,0.335959608,13938.82667,6.94856763,678.3743333,0.575390938,112876.2367,56.2693104,633.4056667,0.343701639,NA,NA
"57","105","VN96104","VN96104",77.655419,53.689814,"russia","karasuk","karasuk","karasuk","ginger.cat","rustica",57,"m",11.9,128.8333333,5.766666667,2.966666667,4.533333333,100.25,19.64,0.251283839,0.721983325,73850.92367,36.98093323,650.04,0.344379719,100220.9933,50.18577533,612.11,0.352915142,36253.00973,18.15373547,661.4733333,0.469659348,86390.40367,43.26009197,609.77,0.36648062,NA,"VN96103"
"58","1050","1050_g_Xinkang.Village_china","1050",112.806888,28.402487,"china","changsha","changsha","changsha","pleasent.surprise","gutturalis",58,"m",10.43333333,116.6666667,5.583333333,2.6,4.183333333,91.58333333,14.5,0.302841713,0.500331743,75209.83667,37.49244101,633.7356667,0.344417851,91455.09333,45.59077434,663.445,0.341855137,14462.18,7.209461615,687.7696667,0.529888741,71371.98667,35.57925557,636.449,0.389072577,NA,NA
"59","1051","1051_g_Xinkang.Village_china","1051",112.807168,28.406485,"china","changsha","changsha","changsha","re-education","gutturalis",59,"m",11.3,123,5.566666667,2.866666667,5.15,104.5,16.6,0.359470071,0.521080666,84828.65333,42.28746427,633.415,0.328082404,95620.00667,47.66700233,633.0943333,0.345280694,17262.08,8.605224327,648.7196667,0.5482441,64894.48667,32.35019276,609.081,0.405936466,NA,"1052"
"60","1052","1052_g_Xinkang.Village_china","1052",112.807168,28.406485,"china","changsha","changsha","changsha","re-education","gutturalis",60,"f",10.9,118.8333333,5.833333333,2.733333333,4.766666667,80.08333333,16.37,0.32873326,0.830306956,68645.11667,34.21989864,603.0743333,0.36588825,96105.27667,47.9089116,609.081,0.348958674,16090.23,8.021051844,680.7343333,0.571599211,71196.50333,35.49177634,652.462,0.396097855,NA,"1051"
