"","band","sex","location","date","rwl.mean","rts.mean","lts.mean","tail.mean","weight","bill.length.mean","bill.width.mean","bill.depth.mean","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","t.total.bright","t.avg.bright","t.hue","t.chrom","r.total.bright","r.avg.bright","r.hue","r.chrom","b.total.bright","b.avg.bright","b.hue","b.chrom","v.total.bright","v.avg.bright","v.hue","v.chrom","mate.id"
"69","X242071","F","amiad","3/6/15",120.67,83,85,84,NA,5.63,5.3,2.77,95,94,87,81,75,67,61,55,49,33659.3428,16.85495383,643.4733333,0.464164886,72228.51167,36.1685086,610.4333333,0.411817417,100821.902,50.48668102,590.7933333,0.35238587,61493.39,30.79288433,626.7866667,0.418857973,NA
"70","X242072","M","amiad","3/7/15",122,100.17,101,100.58,18.59,5.13,5.07,3.13,96,95,89,92,74,67,62,55,50,18448.46953,9.238091905,679.1,0.512963376,42581.25893,21.32261339,643.08,0.483770636,72625.01567,36.36705842,643.4066667,0.397623047,37566.0677,18.81125073,659.7066667,0.490260491,"X242019"
"71","X242073","F","Kahal","3/7/15",123.67,83,90,86.5,21.64,5.73,5.17,3.07,99,95,87,80,74,68,62,55,50,27953.42117,13.99770714,679.4133333,0.477285407,69239.71367,34.67186463,653.4233333,0.44328782,76229.25967,38.17188766,626.4066667,0.397076271,52943.14023,26.51133712,652.7166667,0.48785759,"X242075"
"72","X242074","F","Kahal","3/7/15",124.67,98,98,98,21.18,5.87,5.47,3.53,101,95,90,81.5,75,71,66,60,53,23757.09003,11.8963896,679.4133333,0.491863692,54139.68167,27.11050659,689.11,0.483153934,51379.181,25.72818277,689.7933333,0.472573483,43457.651,21.7614677,689.42,0.516020287,"X242033"
"73","X242075","M","Kahal","3/7/15",129.17,106,117,111.5,19.16,6.13,5.7,3,104,96,89,84,78,70,65,58,52,20403.54233,10.21709681,660.02,0.484643356,53253.94703,26.66697398,643.7866667,0.427970179,57151.59533,28.61872576,650.4266667,0.411724369,45738.1649,22.90343761,660.4,0.451479775,"X242073"
"74","X242076","M","Kahal","3/8/15",126,111.67,111,111.33,20.54,6.17,5.77,2.83,99,94,89.5,82.5,74,69,62,59,58,26060.55067,13.04985011,679.4133333,0.495590633,62243.08533,31.16829511,654.0833333,0.46255074,77782.93333,38.9498915,610.5,0.394102781,41232.3954,20.64716845,679.4133333,0.49864074,"X242067"
"75","X242077","M","amiad","3/9/15",125.33,125.5,126,125.75,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28750.86433,14.39702771,689.11,0.472921279,56465.6745,28.27525013,689.11,0.480986741,49438.43307,24.75635106,672.12,0.474944273,44262.80397,22.16464896,660.02,0.49818727,"X242060"
"76","Y210854","M","amiad","2/7/15",123,103,102.83,102.92,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18192.32847,9.109828977,679.4133333,0.457941166,77237.50667,38.67676849,660.02,0.368114704,99268.96567,49.7090464,661.16,0.347760992,54684.80133,27.38347588,660.02,0.45588096,"X242014"
"77","Y214989","M","amiad","2/17/15",120.83,96.17,97.67,96.92,19.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28748.04067,14.39561375,689.11,0.46582416,80830.92433,40.47617643,671.7466667,0.408057044,60553.61333,30.3222901,609.7933333,0.399668443,40211.9601,20.13618433,669.7166667,0.489076702,"Y26249"
"78","Y26240","M","amiad","3/2/15",NA,109,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30298.31157,15.17191365,660.0866667,0.457228053,54398.29867,27.24000935,632.7266667,0.444888747,40876.91107,20.46915927,643.1,0.447200288,33667.05427,16.85881536,659.3933333,0.510042941,"X242061"
"79","Y26249","F","amiad","2/16/15",117,92,94,93,18.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22315.86543,11.17469476,686.7433333,0.527715259,67188.49767,33.64471591,660.4,0.407607716,54055.309,27.06825689,662.05,0.436342026,44246.942,22.15670606,680.0966667,0.448426105,"Y214989"
"80","Y73064","M","Hoquq","2/25/16",122.83,117.33,NA,117.33,20.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21831.28837,10.93204225,643.0933333,0.466267752,74032.51033,37.07186296,627.1233333,0.409971535,80020.02433,40.07011734,599.1633333,0.383764576,40689.57443,20.37535024,659.3933333,0.482029038,"X242044"
"81","Y73182","F","amiad","2/10/15",123,87,98,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21128.96347,10.58035226,669.4033333,0.494005887,48064.58567,24.06839543,660.7133333,0.438067355,63705.57467,31.90063829,644.43,0.40206109,34753.89957,17.40305436,667.42,0.499722558,"X242018"
"82","Y73190","M","amiad","2/4/15",126.67,115,119,117,21.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X242005"
"83","Y73245","F","amiad","2/17/15",121,91.33,92.33,91.83,19.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24431.301,12.2340015,679.4133333,0.515715376,47982.29113,24.02718635,686.7433333,0.482501902,53349.93837,26.71504175,669.7166667,0.449449014,39472.46327,19.76588045,677.0466667,0.471311999,"X242035"
"84","Y73285","F","Hoquq","2/10/15",123.83,95,83,89,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22801.32307,11.41778822,660.02,0.471115166,47924.161,23.99807762,660.02,0.422893476,67709.04867,33.90538241,660.4,0.389127235,61510.11467,30.80125922,660.78,0.454088405,"X242024"
"85","Y73414","M","amiad","2/26/15",124.67,108,106,107,20.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22097.00057,11.06509793,626.7933333,0.480435632,49871.53267,24.97322617,635.1133333,0.458082633,66532.648,33.31629845,644.05,0.416143292,45416.91667,22.74257219,610.5,0.450108748,"X242048"
